ID,Home_income,Home_car,Home_drive,Age,Gender,Home_type,P_Trip_purpose,P_Trip_seq
256528_1,2,0,0,"[55,60)",0,1,0,1
255113_4,3,1,0,"[20,25)",0,1,0,1
255198_1,3,0,1,"[50,55)",1,1,0,1
255219_3,4,0,1,"[45,50)",1,1,0,1
254826_3,3,0,1,"[30,35)",1,1,4,2
254943_2,1,0,0,"[75,80)",0,1,4,2
256390_3,3,0,0,"[20,25)",0,1,4,2
255198_1,3,0,1,"[50,55)",1,1,4,2
12364_2,4,1,1,"[45,50)",0,1,0,1
12364_3,4,1,0,"[15,20)",1,1,4,2
255113_1,3,1,1,"[65,70)",1,1,4,2
255113_4,3,1,0,"[20,25)",0,1,4,2
255219_3,4,0,1,"[45,50)",1,1,4,2
256480_1,2,0,1,"[55,60)",0,1,0,1
256528_1,2,0,0,"[55,60)",0,1,4,2
256411_1,1,0,0,"[55,60)",0,1,4,2
256390_3,3,0,0,"[20,25)",0,1,2,1
254799_3,2,0,0,"[20,25)",0,1,0,1
254943_2,1,0,0,"[75,80)",0,1,2,1
255219_1,4,0,1,"[40,45)",1,1,0,1
256293_2,3,0,1,"[55,60)",1,1,4,2
14461_1,4,1,1,"[70,75)",1,1,0,1
256387_3,4,1,1,"[40,45)",0,1,0,1
12364_3,4,1,0,"[15,20)",1,1,0,1
256478_2,4,1,1,"[50,55)",1,1,4,2
29520_1,4,1,1,"[30,35)",1,4,0,1
256029_3,4,0,0,"[25,30)",1,1,0,1
14461_1,4,1,1,"[70,75)",1,1,4,2
110672_2,5,1,0,"[25,30)",0,1,4,3
254811_2,1,0,0,"[70,75)",0,1,2,1
256411_1,1,0,0,"[55,60)",0,1,2,1
256029_1,4,0,1,"[60,65)",1,1,1,1
255139_1,5,0,0,"[65,70)",0,1,0,1
254799_3,2,0,0,"[20,25)",0,1,4,2
256348_3,3,0,1,"[50,55)",1,1,4,2
254826_2,3,0,0,"[30,35)",0,1,0,1
255998_2,3,0,1,"[45,50)",1,1,4,2
12364_1,4,1,1,"[45,50)",1,1,0,1
255113_2,3,1,1,"[60,65)",0,1,4,2
12364_1,4,1,1,"[45,50)",1,1,4,2
256387_4,4,1,1,"[35,40)",0,1,0,1
13792_1,2,0,0,"[55,60)",1,1,4,2
256280_1,3,1,0,"[75,80)",0,1,2,1
252393_1,5,1,1,"[40,45)",0,1,4,2
256387_4,4,1,1,"[35,40)",0,1,4,2
256390_4,3,0,0,"[20,25)",1,1,4,2
256478_3,4,1,1,"[45,50)",1,1,0,1
256536_1,3,0,1,"[40,45)",1,1,0,1
256029_3,4,0,0,"[25,30)",1,1,4,2
254826_2,3,0,0,"[30,35)",0,1,4,2
255939_1,4,1,1,"[55,60)",1,1,4,2
255939_3,4,1,1,"[25,30)",1,1,4,2
12364_2,4,1,1,"[45,50)",0,1,4,2
256553_2,1,0,0,"[80,85)",0,1,2,1
27380_1,3,0,1,"[40,45)",1,4,4,2
110672_3,5,1,0,"[25,30)",1,1,4,2
194445_1,4,1,1,"[55,60)",1,1,4,2
256401_2,3,0,1,"[50,55)",0,1,0,1
256553_2,1,0,0,"[80,85)",0,1,4,2
